"#","Game","Owners before","Owners after","Sales","Increase","Price","Max discount","Userscore (Metascore)"
"6742","Divinia Chronicles: Relics of Gan-Ti","5,000","8,000","3,000","60%","$14.99","48% ($7.79)","90% (N/A)"
"6743","The Clockwork Man: The Hidden World","6,000","8,000","2,000","33.33%","$9.99","75% ($2.49)","64% (N/A)"
"6744","Trivia Vault: Boxing Trivia","4,000","8,000","4,000","100%","$1.99","75% ($0.49)","76% (N/A)"
"6745","Pilferer","6,000","8,000","2,000","33.33%","$0.99","51% ($0.49)","N/A (N/A)"
"6746","Raging Titan","6,000","8,000","2,000","33.33%","$4.99","33% ($3.34)","N/A (N/A)"
"6747","Girl Blonde","5,000","8,000","3,000","60%","$1.99","75% ($0.49)","75% (N/A)"
"6748","PLANET ALPHA","0","8,000","8,000","0%","$19.99","40% ($11.99)","82% (72%)"
"6749","Timber Tennis: Versus","1,000","8,000","7,000","700%","$1.99","10% ($1.79)","57% (N/A)"
"6750","Holy Towers","5,000","8,000","3,000","60%","$4.99","0% ($4.99)","N/A (N/A)"
"6751","Ittle Dew 2","4,000","8,000","4,000","100%","$19.99","50% ($9.99)","83% (N/A)"
"6752","Pick a Hero","4,000","8,000","4,000","100%","$1.99","20% ($0.79)","72% (N/A)"
"6753","Cuit","4,000","8,000","4,000","100%","$2.99","75% ($0.74)","71% (N/A)"
"6754","Click&Fight","4,000","8,000","4,000","100%","$1.99","75% ($0.49)","56% (N/A)"
"6755","Unworthy","4,000","8,000","4,000","100%","$14.99","25% ($11.24)","85% (N/A)"
"6756","9th Dawn II","5,000","8,000","3,000","60%","$1.99","50% ($0.99)","85% (N/A)"
"6757","Blaster Cop","5,000","8,000","3,000","60%","$1.99","75% ($0.49)","83% (N/A)"
"6758","Final Directive","3,000","8,000","5,000","166.67%","$1.99","51% ($0.97)","92% (N/A)"
"6759","Safety Driving Simulator: Car","6,000","8,000","2,000","33.33%","$4.99","60% ($1.99)","33% (N/A)"
"6760","Morph Girl","2,000","8,000","6,000","300%","$3.99","50% ($1.99)","65% (N/A)"
"6761","Beat The Game","3,000","8,000","5,000","166.67%","$9.99","50% ($4.99)","83% (55%)"
"6762","The Minims","6,000","8,000","2,000","33.33%","$9.99","0% ($9.99)","50% (73%)"
"6763","Momonga Pinball Adventures","5,000","8,000","3,000","60%","$5.99","60% ($2.39)","58% (N/A)"
"6764","Blackberry Honey","4,000","8,000","4,000","100%","$12.99","20% ($10.39)","98% (N/A)"
"6765","Anime Fight in the Arena of Death","0","8,000","8,000","0%","$0.99","51% ($0.49)","100% (N/A)"
"6766","Harmless Skeleton","6,000","8,000","2,000","33.33%","$3.99","87% ($0.49)","N/A (N/A)"
"6767","My Little Bomb","6,000","8,000","2,000","33.33%","$0.99","51% ($0.49)","77% (N/A)"
"6768","辣条杂货店:令人感动的童年回忆，经典策略模拟经营解密","5,000","8,000","3,000","60%","$5.99","0% ($5.99)","58% (N/A)"
"6769","DROD: Gunthro and the Epic Blunder","5,000","8,000","3,000","60%","$9.99","75% ($2.49)","87% (N/A)"
"6770","Park the car","0","8,000","8,000","0%","$0.99","51% ($0.49)","N/A (N/A)"
"6771","Paperbound","6,000","8,000","2,000","33.33%","$9.99","0% ($9.99)","N/A (68%)"
"6772","Tod Stein","0","8,000","8,000","0%","$0.99","51% ($0.49)","N/A (N/A)"
"6773","Dragon's Lair 2: Time Warp","6,000","8,000","2,000","33.33%","$9.99","50% ($4.99)","82% (N/A)"
"6774","Valcarta: Rise of the Demon","6,000","8,000","2,000","33.33%","$6.99","85% ($1.04)","N/A (N/A)"
"6775","Robo Miner","3,000","8,000","5,000","166.67%","$2.99","30% ($2.09)","73% (N/A)"
"6776","SuperMoose","6,000","8,000","2,000","33.33%","$1.99","70% ($0.59)","N/A (N/A)"
"6777","Super GTR Racing","3,000","8,000","5,000","166.67%","$3.99","88% ($0.49)","N/A (N/A)"
"6778","Underworld Ascendant","1,000","8,000","7,000","700%","$29.99","15% ($25.49)","34% (N/A)"
"6779","Freeways","4,000","8,000","4,000","100%","$3.99","25% ($2.99)","75% (N/A)"
"6780","祛魅·教化（祛魅1）","1,000","7,000","6,000","600%","$0.99","16% ($0.83)","72% (N/A)"
"6781","Thick Light 2","0","7,000","7,000","0%","$0.99","51% ($0.49)","100% (N/A)"
"6782","Gal*Gun 2","0","7,000","7,000","0%","$44.99","50% ($29.99)","90% (N/A)"
"6783","Ruin of the Reckless","4,000","7,000","3,000","75%","$9.99","55% ($4.49)","82% (N/A)"
"6784","Woody Blox","3,000","7,000","4,000","133.33%","$0.99","51% ($0.49)","75% (N/A)"
"6785","Guppy","5,000","7,000","2,000","40%","$2.99","50% ($1.49)","N/A (N/A)"
"6786","Writers","2,000","7,000","5,000","250%","$3.99","80% ($0.79)","89% (N/A)"
"6787","Debtor","4,000","7,000","3,000","75%","$1.99","75% ($0.49)","N/A (N/A)"
"6788","Music Inside: A VR Rhythm Game","2,000","7,000","5,000","250%","$9.99","0% ($9.99)","70% (N/A)"
"6789","CRASHBOT","3,000","7,000","4,000","133.33%","$2.99","83% ($0.5)","N/A (N/A)"
"6790","THE LAST BLADE 2","4,000","7,000","3,000","75%","$9.99","50% ($4.99)","80% (N/A)"
"6791","Intrude","4,000","7,000","3,000","75%","$3.99","50% ($1.99)","87% (N/A)"
"6792","Prey: Typhon Hunter","0","7,000","7,000","0%","$39.99","50% ($19.99)","35% (77%)"
"6793","The Art Of Knuckle Sandwich","3,000","7,000","4,000","133.33%","$8.99","90% ($0.89)","36% (N/A)"
"6794","Cyberline Racing","5,000","7,000","2,000","40%","$0.99","51% ($0.49)","62% (N/A)"
"6795","Margot's Word Brain","0","7,000","7,000","0%","$2.99","70% ($0.89)","N/A (N/A)"
"6796","Little hidden city","2,000","7,000","5,000","250%","$1.99","75% ($0.49)","61% (N/A)"
"6797","Robert Rodriguez’s THE LIMIT: An Immersive Cinema Experience","0","7,000","7,000","0%","$4.99","0% ($4.99)","57% (N/A)"
"6798","Neptune: Arena FPS","2,000","7,000","5,000","250%","$4.99","80% ($0.99)","65% (N/A)"
"6799","Hanse - The Hanseatic League","4,000","7,000","3,000","75%","$19.99","50% ($9.99)","36% (N/A)"
"6800","Trash Squad","1,000","7,000","6,000","600%","$4.99","90% ($0.49)","80% (N/A)"
"6801","Glasswinged Ascension","5,000","7,000","2,000","40%","$0.99","83% ($0.49)","N/A (N/A)"
"6802","C2H6O","5,000","7,000","2,000","40%","$1.99","75% ($0.49)","45% (N/A)"
"6803","Chronoclysm","5,000","7,000","2,000","40%","$4.99","0% ($4.99)","N/A (N/A)"
"6804","The Tenth Line","5,000","7,000","2,000","40%","$9.99","66% ($3.39)","89% (N/A)"
"6805","Defense the Farm","3,000","7,000","4,000","133.33%","$0.99","51% ($0.49)","93% (N/A)"
"6806","ROKH","4,000","7,000","3,000","75%","$19.99","0% ($9.99)","43% (N/A)"
"6807","One Dog Story","3,000","7,000","4,000","133.33%","$4.99","50% ($2.49)","64% (N/A)"
"6808","Orblitz","2,000","7,000","5,000","250%","$0.99","0% ($0.99)","N/A (N/A)"
"6809","Mana Spark","0","7,000","7,000","0%","$9.99","15% ($8.49)","87% (N/A)"
"6810","The Initiate","3,000","7,000","4,000","133.33%","$12.99","70% ($4.49)","73% (N/A)"
"6811","Super Arcade Football","4,000","7,000","3,000","75%","$9.99","50% ($4.99)","76% (N/A)"
"6812","Bitcoin Trader","2,000","7,000","5,000","250%","$2.99","90% ($0.49)","54% (N/A)"
"6813","HeartZ: Co-Hope Puzzles","5,000","7,000","2,000","40%","$9.99","75% ($2.49)","N/A (N/A)"
"6814","Hunted: One Step Too Far","5,000","7,000","2,000","40%","$4.99","80% ($0.99)","48% (N/A)"
"6815","Silver Bullet: Prometheus","5,000","7,000","2,000","40%","$4.99","90% ($0.49)","59% (N/A)"
"6816","DeFaster","0","7,000","7,000","0%","$0.99","51% ($0.49)","N/A (N/A)"
"6817","Kingdom Tales","5,000","7,000","2,000","40%","$2.99","70% ($0.89)","55% (N/A)"
"6818","Next","4,000","7,000","3,000","75%","$0.99","51% ($0.49)","87% (N/A)"
"6819","Celestial Creator","1,000","7,000","6,000","600%","$0.99","50% ($0.99)","N/A (N/A)"
"6820","Leaflet Love Story","0","7,000","7,000","0%","$2.99","40% ($1.79)","90% (N/A)"
"6821","Super Bunny Man","4,000","7,000","3,000","75%","$13.99","0% ($12.99)","84% (N/A)"
"6822","Papich - The Game Ep.1","4,000","7,000","3,000","75%","$1.99","75% ($0.49)","87% (N/A)"
"6823","Demon's Crystals","4,000","7,000","3,000","75%","$4.99","60% ($1.99)","64% (N/A)"
"6824","A Princess' Tale","5,000","7,000","2,000","40%","$4.99","90% ($0.49)","38% (N/A)"
"6825","Gopnik Simulator","3,000","7,000","4,000","133.33%","$0.99","51% ($0.49)","43% (N/A)"
"6826","Valthirian Arc: Hero School Story","0","7,000","7,000","0%","$14.99","20% ($11.99)","66% (N/A)"
"6827","D.N.Age","3,000","7,000","4,000","133.33%","$4.99","60% ($1.99)","45% (N/A)"
"6828","CYBER JOLT (VR)","5,000","7,000","2,000","40%","$0.99","37% ($0.62)","50% (N/A)"
"6829","V ARRR","4,000","7,000","3,000","75%","$9.99","90% ($0.99)","68% (N/A)"
"6830","Sweet Girl Adventure 2","0","7,000","7,000","0%","$0.99","40% ($0.59)","N/A (N/A)"
"6831","The Cursed Love","0","7,000","7,000","0%","$1.99","65% ($1.39)","78% (N/A)"
"6832","Sumeru","5,000","7,000","2,000","40%","$6.99","60% ($2.79)","79% (N/A)"
"6833","ZoneDriver","5,000","7,000","2,000","40%","$0.99","51% ($0.49)","54% (N/A)"
"6834","QLORB","5,000","7,000","2,000","40%","$0.99","51% ($0.49)","73% (N/A)"
"6835","MOMO.EXE","0","7,000","7,000","0%","$1.99","55% ($0.89)","88% (N/A)"
"6836","Glory of the Self-Styled Diehard girl","2,000","7,000","5,000","250%","$3.99","25% ($1.49)","30% (N/A)"
"6837","Insane Decay of Mind: The Labyrinth","4,000","7,000","3,000","75%","$2.99","80% ($0.59)","39% (N/A)"
"6838","Let's Sing 2016","3,000","7,000","4,000","133.33%","$24.99","66% ($8.49)","50% (N/A)"
"6839","Plant This","5,000","7,000","2,000","40%","$0.99","75% ($0.49)","51% (N/A)"
"6840","Tank Warfare: Tunisia 1943","5,000","7,000","2,000","40%","$39.99","80% ($7.99)","83% (N/A)"
"6841","THE QUIET MAN","0","7,000","7,000","0%","$14.99","10% ($13.49)","31% (N/A)"
"6842","Grisaia Phantom Trigger Vol.3","3,000","7,000","4,000","133.33%","$14.99","35% ($9.74)","93% (N/A)"
"6843","Sky Hawk","2,000","7,000","5,000","250%","$2.99","75% ($0.99)","N/A (N/A)"
"6844","Pulse","3,000","7,000","4,000","133.33%","$7.99","85% ($1.59)","48% (57%)"
"6845","SOK MAX","2,000","7,000","5,000","250%","$1.99","75% ($0.49)","100% (N/A)"
"6846","SUMETRICK","3,000","7,000","4,000","133.33%","$0.99","51% ($0.49)","79% (N/A)"
"6847","Space man adventure dash","3,000","7,000","4,000","133.33%","$0.99","51% ($0.49)","N/A (N/A)"
"6848","Achievement Lurker: Respectable Accomplishment","2,000","7,000","5,000","250%","$1.99","60% ($0.79)","64% (N/A)"
"6849","Cut The Ex-Girlfriends","1,000","7,000","6,000","600%","$0.99","51% ($0.49)","N/A (N/A)"
"6850","Pavilion","3,000","7,000","4,000","133.33%","$9.99","50% ($4.99)","70% (N/A)"
"6851","Harts","5,000","7,000","2,000","40%","$1.99","60% ($0.79)","69% (N/A)"
"6852","Alien Hallway 2","2,000","7,000","5,000","250%","$9.99","65% ($3.49)","64% (N/A)"
"6853","東方幕華祭 TouHou Makuka Sai ~ Fantastic Danmaku Festival","0","7,000","7,000","0%","$8.99","20% ($7.19)","95% (N/A)"
"6854","The Duller","3,000","7,000","4,000","133.33%","$0.99","51% ($0.49)","N/A (N/A)"
"6855","Mumps","4,000","7,000","3,000","75%","$0.99","51% ($0.49)","N/A (N/A)"
"6856","Death Space","0","7,000","7,000","0%","$0.99","40% ($0.59)","N/A (N/A)"
"6857","Galimulator","2,000","7,000","5,000","250%","$4.99","40% ($2.99)","90% (N/A)"
"6858","EARTH DEFENSE FORCE 4.1 WINGDIVER THE SHOOTER","4,000","7,000","3,000","75%","$19.99","50% ($9.99)","75% (N/A)"
"6859","Gun Brothers","5,000","7,000","2,000","40%","$9.99","90% ($0.99)","35% (N/A)"
"6860","Leisure Suit Larry 6 - Shape Up Or Slip Out","4,000","7,000","3,000","75%","$4.99","50% ($2.49)","N/A (N/A)"
"6861","Achievement Hunter: Scars","4,000","7,000","3,000","75%","$0.99","51% ($0.49)","60% (N/A)"
"6862","Zoo Tycoon: Ultimate Animal Collection","0","7,000","7,000","0%","$19.99","25% ($14.99)","44% (N/A)"
"6863","OutSplit","5,000","7,000","2,000","40%","$0.99","51% ($0.49)","90% (N/A)"
"6864","Aiball: Drunks","4,000","7,000","3,000","75%","$0.99","51% ($0.49)","57% (N/A)"
"6865","Total Extreme Wrestling 2013","3,000","7,000","4,000","133.33%","$19.99","75% ($4.99)","83% (N/A)"
"6866","DYING: Reborn","4,000","7,000","3,000","75%","$12.99","80% ($2.59)","76% (N/A)"
"6867","Owen to have fun!","3,000","7,000","4,000","133.33%","$1.99","75% ($0.49)","N/A (N/A)"
"6868","Fortissimo FA INTL Ver","0","7,000","7,000","0%","$9.99","60% ($1.19)","78% (N/A)"
"6869","Police Patrol","3,000","7,000","4,000","133.33%","$0.99","51% ($0.49)","36% (N/A)"
"6870","建筑大冒险 Architectural Adventure","0","7,000","7,000","0%","$0.99","0% ($0.99)","N/A (N/A)"
"6871","TEVA","1,000","7,000","6,000","600%","$0.99","51% ($0.49)","N/A (N/A)"
"6872","Little Adventurer II","5,000","7,000","2,000","40%","$0.99","51% ($0.49)","N/A (N/A)"
"6873","So Many Me","5,000","7,000","2,000","40%","$14.99","80% ($2.99)","89% (78%)"
"6874","Companion","3,000","7,000","4,000","133.33%","$9.99","50% ($4.99)","93% (N/A)"
"6875","Racket Fury: Table Tennis VR","4,000","7,000","3,000","75%","$9.99","40% ($5.99)","83% (N/A)"
"6876","Natural Locomotion","2,000","7,000","5,000","250%","$9.99","20% ($7.99)","90% (N/A)"
"6877","Bitcoin Trading Master: Simulator","3,000","7,000","4,000","133.33%","$4.99","35% ($1.49)","82% (N/A)"
"6878","Bunny Hop","2,000","7,000","5,000","250%","$0.99","51% ($0.49)","N/A (N/A)"
"6879","JJBoom","0","7,000","7,000","0%","$9.99","90% ($0.99)","92% (N/A)"
"6880","MILF","3,000","7,000","4,000","133.33%","$0.99","45% ($0.54)","58% (N/A)"
"6881","The Momo Game","0","7,000","7,000","0%","$1.99","50% ($0.99)","N/A (N/A)"
"6882","River City Melee : Battle Royal Special","3,000","7,000","4,000","133.33%","$19.99","80% ($3.99)","42% (N/A)"
"6883","Russian Prisoner VS Nazi Zombies","2,000","7,000","5,000","250%","$0.99","51% ($0.49)","53% (N/A)"
"6884","Tragedy of Prince Rupert","5,000","7,000","2,000","40%","$4.99","80% ($0.99)","80% (N/A)"
"6885","Regular Human Basketball","0","7,000","7,000","0%","$4.99","20% ($3.99)","95% (N/A)"
"6886","Gay World","4,000","7,000","3,000","75%","$0.99","51% ($0.49)","75% (N/A)"
"6887","Wacky Wheels HD","2,000","7,000","5,000","250%","$9.99","70% ($2.99)","31% (N/A)"
"6888","Starlight Inception","5,000","7,000","2,000","40%","$9.99","75% ($2.49)","21% (N/A)"
"6889","The Dragons' Twilight","4,000","7,000","3,000","75%","$3.99","50% ($1.99)","100% (N/A)"
"6890","Mhakna Gramura and Fairy Bell","2,000","7,000","5,000","250%","$4.99","20% ($3.99)","98% (N/A)"
"6891","Rainbow Snake","5,000","7,000","2,000","40%","$0.99","87% ($0.49)","81% (N/A)"
"6892","Don Bradman Cricket 17","5,000","7,000","2,000","40%","$49.99","25% ($37.49)","58% (N/A)"
"6893","Goat Life","3,000","7,000","4,000","133.33%","$3.99","87% ($0.49)","77% (N/A)"
"6894","Leisure Suit Larry 1 - In the Land of the Lounge Lizards","4,000","7,000","3,000","75%","$3.99","50% ($1.99)","60% (N/A)"
"6895","DevWill","5,000","7,000","2,000","40%","$0.99","51% ($0.49)","N/A (N/A)"
"6896","TacoFace","1,000","7,000","6,000","600%","$0.99","0% ($0.99)","N/A (N/A)"
"6897","Tower Hunter: Erza's Trial","0","7,000","7,000","0%","$15.99","20% ($12.79)","77% (N/A)"
"6898","Age of Castles: Warlords","5,000","7,000","2,000","40%","$1.99","75% ($0.49)","33% (N/A)"
"6899","The Last Warlock","5,000","7,000","2,000","40%","$5.99","50% ($2.99)","90% (N/A)"
"6900","Sengoku Jidai: Shadow of the Shogun","4,000","7,000","3,000","75%","$29.99","65% ($10.49)","73% (85%)"
"6901","NALOGI 2","1,000","7,000","6,000","600%","$1.99","75% ($0.49)","72% (N/A)"
"6902","Attentat 1942","4,000","7,000","3,000","75%","$10.99","50% ($5.49)","91% (75%)"
"6903","Healer's Quest","4,000","7,000","3,000","75%","$14.99","35% ($9.74)","91% (N/A)"
"6904","Wildlife Creative Studio","5,000","7,000","2,000","40%","$6.99","50% ($3.49)","N/A (N/A)"
"6905","Geared","2,000","7,000","5,000","250%","$2.99","0% ($2.99)","N/A (N/A)"
"6906","Hope in Hell","5,000","7,000","2,000","40%","$2.99","0% ($2.99)","N/A (N/A)"
"6907","Zen Chess: Mate in One","3,000","7,000","4,000","133.33%","$0.99","40% ($0.59)","80% (N/A)"
"6908","NOSTALGIC TRAIN","4,000","7,000","3,000","75%","$18.99","0% ($18.99)","75% (N/A)"
"6909","Dead Acres","4,000","7,000","3,000","75%","$4.99","40% ($2.99)","80% (N/A)"
"6910","Nusakana","3,000","7,000","4,000","133.33%","$8.99","75% ($2.24)","90% (N/A)"
"6911","Trooper 1","5,000","7,000","2,000","40%","$2.99","50% ($1.49)","N/A (N/A)"
"6912","Default Dan","4,000","7,000","3,000","75%","$5.99","0% ($5.99)","96% (N/A)"
"6913","Dead","3,000","7,000","4,000","133.33%","$4.99","50% ($2.49)","86% (N/A)"
"6914","Arvale","5,000","7,000","2,000","40%","$7.99","90% ($0.79)","66% (N/A)"
"6915","Wo Yao Da 我要大","5,000","7,000","2,000","40%","$2.99","50% ($1.49)","83% (N/A)"
"6916","Tail Drift","5,000","7,000","2,000","40%","$9.99","0% ($9.99)","N/A (N/A)"
"6917","Katamari Damacy REROLL","0","7,000","7,000","0%","$29.99","0% ($29.99)","93% (81%)"
"6918","Slay.one","2,000","7,000","5,000","250%","$9.99","30% ($6.99)","73% (N/A)"
"6919","PubgTrainingCamp","4,000","7,000","3,000","75%","$2.99","0% ($2.99)","16% (N/A)"
"6920","Lost In Space","5,000","7,000","2,000","40%","$0.99","51% ($0.49)","82% (N/A)"
"6921","Gamer Career Tycoon","3,000","7,000","4,000","133.33%","$8.99","90% ($0.89)","82% (N/A)"
"6922","Kingdom Defense","5,000","7,000","2,000","40%","$0.99","51% ($0.49)","41% (N/A)"
"6923","Attack of the Earthlings","5,000","7,000","2,000","40%","$19.99","30% ($13.99)","85% (71%)"
"6924","Trivia Vault: Soccer Trivia","1,000","7,000","6,000","600%","$1.99","75% ($0.49)","N/A (N/A)"
"6925","The Horus Heresy: Battle of Tallarn - Iron Edition","4,000","7,000","3,000","75%","$9.99","90% ($0.99)","44% (N/A)"
"6926","Capcom Beat 'Em Up Bundle / カプコン ベルトアクション コレクション","0","7,000","7,000","0%","$19.99","0% ($19.99)","84% (N/A)"
"6927","inVokeR","2,000","7,000","5,000","250%","$14.99","90% ($1.49)","82% (N/A)"
"6928","EVIL POSSESSION","4,000","7,000","3,000","75%","$0.99","51% ($0.49)","48% (N/A)"
"6929","Apocryph: an old-school shooter","2,000","7,000","5,000","250%","$14.99","50% ($7.49)","57% (N/A)"
"6930","Don't Sink","5,000","7,000","2,000","40%","$9.99","50% ($4.99)","83% (N/A)"
"6931","Age of Rivals","4,000","7,000","3,000","75%","$9.99","50% ($4.99)","89% (N/A)"
"6932","Captive","1,000","7,000","6,000","600%","$1.99","70% ($0.67)","76% (N/A)"
"6933","Bus Tycoon ND (Night and Day)","5,000","7,000","2,000","40%","$2.99","65% ($1.04)","37% (N/A)"
"6934","DEEP SPACE | Space-Platformer","2,000","7,000","5,000","250%","$4.99","65% ($1.74)","N/A (N/A)"
"6935","openCanvas 7","5,000","7,000","2,000","40%","$59.99","20% ($47.99)","78% (N/A)"
"6936","Soup: the Game","5,000","7,000","2,000","40%","$1.99","0% ($1.99)","66% (N/A)"
"6937","Lily's Day Off","5,000","7,000","2,000","40%","$2.99","67% ($0.98)","87% (N/A)"
"6938","Monsterland","3,000","7,000","4,000","133.33%","$0.99","0% ($0.99)","100% (N/A)"
"6939","Super Animal Royale","0","7,000","7,000","0%","$12.99","10% ($11.69)","100% (N/A)"
"6940","Don't Bite Me Bro! +","0","7,000","7,000","0%","$0.99","0% ($0.99)","73% (N/A)"
"6941","Treasure Hunter Simulator","0","7,000","7,000","0%","$16.99","15% ($14.44)","64% (N/A)"
"6942","Lucy Got Problems","0","7,000","7,000","0%","$7.99","15% ($6.79)","98% (N/A)"
"6943","Teal","4,000","7,000","3,000","75%","$3.99","75% ($0.99)","N/A (N/A)"
"6944","Thing-in-Itself","5,000","7,000","2,000","40%","$2.49","80% ($0.49)","75% (N/A)"
"6945","Ashes","5,000","7,000","2,000","40%","$0.99","51% ($0.49)","66% (N/A)"
"6946","Rex: Another Island","3,000","7,000","4,000","133.33%","$2.99","50% ($1.49)","92% (N/A)"
"6947","Indian Mutiny: Little Sepoy","3,000","7,000","4,000","133.33%","$3.99","75% ($1.49)","N/A (N/A)"
"6948","Dragon Perception","5,000","7,000","2,000","40%","$0.99","51% ($0.49)","N/A (N/A)"
"6949","Legends of Iskaria: Days of Thieves","1,000","7,000","6,000","600%","$2.99","75% ($0.74)","86% (N/A)"
"6950","Hello Charlotte EP3: Childhood's End","5,000","7,000","2,000","40%","$2.99","30% ($2.09)","98% (N/A)"
"6951","INVERSUS Deluxe","5,000","7,000","2,000","40%","$14.99","67% ($4.94)","97% (N/A)"
"6952","Tiny Mage","4,000","7,000","3,000","75%","$0.99","83% ($0.49)","75% (N/A)"
"6953","One Piece: Unlimited World Red - Deluxe Edition","5,000","7,000","2,000","40%","$39.99","75% ($9.99)","66% (N/A)"
"6954","Wormster Dash","0","7,000","7,000","0%","$1.99","30% ($1.39)","100% (N/A)"
"6955","quadrantica","2,000","7,000","5,000","250%","$1.99","50% ($0.99)","N/A (N/A)"
"6956","Anime Dress Up","0","7,000","7,000","0%","$0.99","51% ($0.49)","N/A (N/A)"
"6957","Loot Box Quest","5,000","7,000","2,000","40%","$0.99","30% ($0.69)","95% (N/A)"
"6958","CHAOS CODE -NEW SIGN OF CATASTROPHE-","5,000","7,000","2,000","40%","$19.99","75% ($4.99)","81% (N/A)"
"6959","Project Glitch","2,000","7,000","5,000","250%","$0.99","0% ($0.99)","N/A (N/A)"
"6960","JQ: countries","2,000","7,000","5,000","250%","$0.99","51% ($0.49)","68% (N/A)"
"6961","Gevaudan","5,000","7,000","2,000","40%","$2.99","50% ($1.49)","73% (N/A)"
"6962","SWORDY","4,000","7,000","3,000","75%","$14.99","0% ($14.99)","68% (N/A)"
"6963","G2 Fighter","0","7,000","7,000","0%","$15.99","20% ($12.79)","91% (N/A)"
"6964","Club of fighters","5,000","7,000","2,000","40%","$1.99","50% ($0.99)","N/A (N/A)"
"6965","OF MICE AND SAND -REVISED-","5,000","7,000","2,000","40%","$9.99","20% ($7.99)","80% (N/A)"
"6966","Trivia Vault: Celebrity Trivia","3,000","7,000","4,000","133.33%","$1.99","75% ($0.49)","N/A (N/A)"
"6967","Close Me","5,000","7,000","2,000","40%","$0.99","20% ($0.79)","84% (N/A)"
"6968","Shadows on the Vatican Act II: Wrath","5,000","7,000","2,000","40%","$6.99","70% ($2.09)","69% (N/A)"
"6969","Rugby League Team Manager 2015","5,000","7,000","2,000","40%","$19.99","50% ($9.99)","65% (N/A)"
"6970","Craft and Dungeon","4,000","7,000","3,000","75%","$0.99","35% ($0.64)","45% (N/A)"
"6971","Front Office Football Seven","5,000","7,000","2,000","40%","$14.99","30% ($13.29)","79% (N/A)"
"6972","Stickman Jetpack","5,000","7,000","2,000","40%","$0.99","51% ($0.49)","N/A (N/A)"
"6973","Ian's Eyes","3,000","7,000","4,000","133.33%","$9.99","90% ($0.99)","50% (36%)"
"6974","There Is A Genie In My Szechuan Sauce","4,000","7,000","3,000","75%","$1.99","60% ($0.79)","76% (N/A)"
"6975","Conductor","5,000","7,000","2,000","40%","$9.99","50% ($4.99)","94% (N/A)"
"6976","PooSky","5,000","7,000","2,000","40%","$1.99","75% ($0.49)","61% (N/A)"
"6977","Deep Sorrow","4,000","7,000","3,000","75%","$3.99","50% ($1.99)","68% (N/A)"
"6978","Urban War Defense","3,000","7,000","4,000","133.33%","$5.99","75% ($1.49)","N/A (N/A)"
"6979","Time To Walk Alone","4,000","7,000","3,000","75%","$0.99","51% ($0.49)","N/A (N/A)"
"6980","Barter Empire","5,000","7,000","2,000","40%","$4.99","0% ($4.99)","47% (N/A)"
"6981","Crankies Workshop: Whirlbot Assembly","4,000","7,000","3,000","75%","$0.99","51% ($0.49)","55% (N/A)"
"6982","Achievement Hunter: Alien","5,000","7,000","2,000","40%","$0.99","51% ($0.49)","67% (N/A)"
"6983","Farm Frenzy Collection","5,000","7,000","2,000","40%","$19.99","60% ($7.99)","91% (N/A)"
"6984","Achievement Hunter: Zombie","5,000","7,000","2,000","40%","$0.99","51% ($0.49)","66% (N/A)"
"6985","Brick Breaker Ultimate","5,000","7,000","2,000","40%","$0.99","51% ($0.49)","N/A (N/A)"
"6986","Trivia Vault: Art Trivia","2,000","7,000","5,000","250%","$1.99","75% ($0.49)","N/A (N/A)"
"6987","Gladiabots","0","7,000","7,000","0%","$14.99","10% ($13.49)","94% (N/A)"
"6988","ArcBall","5,000","7,000","2,000","40%","$0.99","51% ($0.49)","N/A (N/A)"
"6989","My Holiday","0","7,000","7,000","0%","$4.99","15% ($4.24)","98% (N/A)"
"6990","The Blackout Club","0","7,000","7,000","0%","$19.99","10% ($17.99)","90% (N/A)"
"6991","Immortal Planet","5,000","7,000","2,000","40%","$14.99","60% ($5.99)","86% (65%)"
"6992","Darkestville Castle","4,000","7,000","3,000","75%","$14.99","50% ($7.49)","94% (68%)"
"6993","Starr Mazer: DSP","5,000","7,000","2,000","40%","$9.99","30% ($6.99)","83% (N/A)"
"6994","Shadows of Adam","3,000","7,000","4,000","133.33%","$14.99","50% ($7.49)","94% (78%)"
"6995","Angels That Kill","5,000","7,000","2,000","40%","$2.99","50% ($1.49)","N/A (N/A)"
"6996","U-BOOT 1945","0","7,000","7,000","0%","$1.99","75% ($0.49)","78% (N/A)"
"6997","First Winter","1,000","7,000","6,000","600%","$3.99","50% ($1.99)","96% (N/A)"
"6998","News Tycoon","5,000","7,000","2,000","40%","$6.99","60% ($2.79)","40% (N/A)"
"6999","Armored Kitten","3,000","7,000","4,000","133.33%","$2.99","25% ($2.24)","91% (N/A)"
"7000","Prisoner","4,000","7,000","3,000","75%","$2.99","75% ($0.74)","63% (N/A)"
"7001","DiscStorm","5,000","7,000","2,000","40%","$11.99","60% ($4.79)","N/A (58%)"
"7002","Shotgun Legend","4,000","7,000","3,000","75%","$4.99","80% ($0.49)","97% (N/A)"
"7003","Z-Exemplar","5,000","7,000","2,000","40%","$1.99","75% ($1.24)","100% (N/A)"
"7004","Colt Express","4,000","7,000","3,000","75%","$6.99","57% ($3)","69% (N/A)"
"7005","Club Manager 2017","4,000","7,000","3,000","75%","$29.99","50% ($14.99)","41% (N/A)"
