"#","Game","Owners before","Owners after","Sales","Increase","Price","Max discount","Userscore (Metascore)"
"138","POSTAL 2","1,574,000","1,916,000","342,000","21.73%","$9.99","90% ($0.99)","95% (59%)"
"139","Mad Max","1,572,000","1,913,000","341,000","21.69%","$19.99","75% ($4.99)","89% (73%)"
"140","Banished","1,837,000","1,909,000","72,000","3.92%","$19.99","66% ($6.79)","89% (N/A)"
"141","Max Payne 3","1,828,000","1,891,000","63,000","3.45%","$19.99","65% ($6.99)","82% (87%)"
"142","Mass Effect 2","1,404,000","1,869,000","465,000","33.12%","$19.99","75% ($4.99)","95% (94%)"
"143","Dungeon Defenders","1,518,000","1,837,000","319,000","21.01%","$14.99","75% ($3.74)","92% (81%)"
"144","The Sims 3","1,698,000","1,833,000","135,000","7.95%","$19.99","85% ($2.99)","81% (86%)"
"145","Warhammer 40,000: Dawn of War II Chaos Rising","1,789,000","1,813,000","24,000","1.34%","$19.99","75% ($4.99)","87% (85%)"
"146","Total War: WARHAMMER","1,680,000","1,798,000","118,000","7.02%","$59.99","75% ($14.99)","75% (86%)"
"147","Grand Theft Auto III","1,264,000","1,798,000","534,000","42.25%","$9.99","65% ($3.49)","85% (93%)"
"148","Stellaris","1,429,000","1,788,000","359,000","25.12%","$39.99","60% ($15.99)","78% (78%)"
"149","Call of Duty: World at War","1,701,000","1,779,000","78,000","4.59%","$19.99","51% ($9.79)","92% (83%)"
"150","DARK SOULS II: Scholar of the First Sin","1,588,000","1,776,000","188,000","11.84%","$39.99","75% ($9.99)","86% (79%)"
"151","F.E.A.R. 3","1,705,000","1,770,000","65,000","3.81%","$19.99","75% ($4.99)","71% (74%)"
"152","STAR WARS Jedi Knight - Jedi Academy","1,687,000","1,764,000","77,000","4.56%","$9.99","65% ($3.49)","94% (81%)"
"153","XCOM 2","1,650,000","1,764,000","114,000","6.91%","$59.99","75% ($14.99)","81% (88%)"
"154","Human: Fall Flat","1,487,000","1,751,000","264,000","17.75%","$14.99","50% ($7.49)","90% (70%)"
"155","Cortex Command","1,618,000","1,749,000","131,000","8.1%","$19.99","85% ($2.99)","81% (44%)"
"156","The Darkness II","1,716,000","1,734,000","18,000","1.05%","$29.99","80% ($5.99)","89% (77%)"
"157","Jet Set Radio","1,663,000","1,729,000","66,000","3.97%","$7.99","85% ($1.19)","88% (N/A)"
"158","L.A. Noire","1,624,000","1,722,000","98,000","6.03%","$19.99","65% ($6.99)","85% (83%)"
"159","Wolfenstein: The New Order","1,605,000","1,717,000","112,000","6.98%","$19.99","67% ($6.59)","89% (81%)"
"160","Red Faction: Armageddon","1,695,000","1,715,000","20,000","1.18%","$19.99","75% ($4.99)","70% (75%)"
"161","Surgeon Simulator","1,696,000","1,713,000","17,000","1%","$9.99","85% ($1.49)","82% (71%)"
"162","Stick Fight: The Game","1,272,000","1,709,000","437,000","34.36%","$4.99","25% ($3.74)","90% (N/A)"
"163","Cuphead","1,506,000","1,697,000","191,000","12.68%","$19.99","20% ($15.99)","95% (88%)"
"164","Assassin’s Creed IV Black Flag","1,534,000","1,672,000","138,000","9%","$19.99","60% ($7.99)","87% (N/A)"
"165","Risk of Rain","1,535,000","1,659,000","124,000","8.08%","$9.99","80% ($1.99)","93% (77%)"
"166","Batman: Arkham Knight","1,369,000","1,648,000","279,000","20.38%","$19.99","75% ($4.99)","77% (N/A)"
"167","Deus Ex: Human Revolution - Director's Cut","1,627,000","1,648,000","21,000","1.29%","$19.99","85% ($2.99)","91% (91%)"
"168","Golf With Your Friends","1,630,000","1,643,000","13,000","0.8%","$5.99","35% ($3.89)","90% (N/A)"
"169","Plague Inc: Evolved","1,628,000","1,633,000","5,000","0.31%","$14.99","60% ($5.99)","93% (N/A)"
"170","The Red Solstice","1,505,000","1,632,000","127,000","8.44%","$9.99","85% ($1.49)","76% (74%)"
"171","The Elder Scrolls Online","1,475,000","1,629,000","154,000","10.44%","$19.99","50% ($9.99)","76% (N/A)"
"172","Mass Effect","1,612,000","1,629,000","17,000","1.05%","$19.99","75% ($4.99)","94% (89%)"
"173","Broforce","1,430,000","1,609,000","179,000","12.52%","$14.99","75% ($3.74)","96% (83%)"
"174","Warhammer 40,000: Dawn of War - Game of the Year Edition","1,136,000","1,591,000","455,000","40.05%","$12.99","75% ($3.24)","95% (86%)"
"175","SpeedRunners","1,495,000","1,587,000","92,000","6.15%","$14.99","67% ($4.94)","94% (84%)"
"176","Tabletop Simulator","1,279,000","1,586,000","307,000","24%","$19.99","50% ($9.99)","93% (N/A)"
"177","Natural Selection 2","1,584,000","1,586,000","2,000","0.13%","$9.99","75% ($2.49)","85% (80%)"
"178","Shadowrun Returns","1,057,000","1,579,000","522,000","49.39%","$14.99","75% ($3.74)","88% (76%)"
"179","Brothers - A Tale of Two Sons","1,397,000","1,563,000","166,000","11.88%","$14.99","80% ($2.99)","94% (90%)"
"180","The Long Dark","1,376,000","1,560,000","184,000","13.37%","$29.99","75% ($7.49)","91% (N/A)"
"181","Sid Meier's Civilization IV","1,553,000","1,558,000","5,000","0.32%","$19.99","75% ($4.99)","92% (94%)"
"182","Medal of Honor","1,539,000","1,549,000","10,000","0.65%","$19.99","75% ($4.99)","76% (72%)"
