"","Rank of Sales","Game","Owners Before","Owners After","Sales","Price","Increase(Percentage)","Max Discount(Percentage of Original)","Lowest Price"
"6457",6457,"Spacejacked",6000,9000,3000,9.99,50,50,4.99
"6458",6458,"The Pirate's Fate",4000,9000,5000,19.99,125,35,12.99
"6459",6459,"The Way We All Go",7000,9000,2000,5.99,28.57,75,1.49
"6460",6460,"Disney•Pixar Cars Mater-National Championship",6000,9000,3000,19.99,50,70,5.99
"6461",6461,"Tennis World Tour",5000,9000,4000,49.99,80,50,24.99
"6462",6462,"JET HERO",4000,9000,5000,3.99,125,55,0.69
"6463",6463,"Bermuda - Lost Survival",7000,9000,2000,14.99,28.57,10,13.49
"6464",6464,"New Gundam Breaker",0,9000,9000,49.99,0,50,24.99
"6465",6465,"Monsters Attack",3000,9000,6000,0.99,200,50,0.99
"6466",6466,"ADventure Lib",7000,9000,2000,1.99,28.57,50,0.99
"6467",6467,"The Sea Will Claim Everything",7000,9000,2000,9.99,28.57,75,2.49
"6468",6468,"Caromble!",7000,9000,2000,12.99,28.57,30,9.09
"6469",6469,"Citystate",3000,9000,6000,14.99,200,10,13.49
"6470",6470,"Gladiator School",4000,9000,5000,11.99,125,90,1.19
"6471",6471,"KAKUSANKIBOU / 扩散希望",4000,9000,5000,2.99,125,60,1.19
"6472",6472,"Labyrinthian",4000,9000,5000,0.99,125,51,0.49
"6473",6473,"The Tritan Initiative",6000,9000,3000,0.99,50,51,0.49
"6474",6474,"I Want To Be Human",6000,9000,3000,2.99,50,50,1.49
"6475",6475,"Answer The Question",0,9000,9000,0.99,0,51,0.49
"6476",6476,"Hidden Object - 12 in 1 bundle",7000,9000,2000,5.99,28.57,67,1.97
"6477",6477,"NARK THE DRAGON",3000,9000,6000,0.99,200,51,0.49
"6478",6478,"AI War 2",0,9000,9000,19.99,0,15,16.99
"6479",6479,"Football Manager 2019 Touch",0,9000,9000,29.99,0,0,29.99
"6480",6480,"Train Station Simulator",6000,9000,3000,14.99,50,50,7.49
"6481",6481,"Obscuritas",7000,9000,2000,14.99,28.57,80,2.99
"6482",6482,"Elite vs. Freedom",3000,9000,6000,4.99,200,90,0.49
"6483",6483,"Post Human W.A.R",3000,9000,6000,14.99,200,40,8.99
"6484",6484,"Bitcoin Man Clicker",0,9000,9000,0.99,0,51,0.49
"6485",6485,"The Interview",7000,9000,2000,1.99,28.57,0,1.99
"6486",6486,"Amulet of Dreams",7000,9000,2000,6.99,28.57,70,2.09
"6487",6487,"Internal Storm",2000,9000,7000,2.99,350,70,0.89
"6488",6488,"Clue/Cluedo: The Classic Mystery Game",6000,9000,3000,11.99,50,25,8.99
"6489",6489,"House of Meditation",6000,9000,3000,6.99,50,0,6.99
"6490",6490,"Zwei: The Ilvard Insurrection",5000,9000,4000,29.99,80,50,14.99
"6491",6491,"My Night Job",6000,9000,3000,3.99,50,65,1.39
"6492",6492,"The Curse of Nordic Cove",7000,9000,2000,0.99,28.57,51,0.49
"6493",6493,"Crankies Workshop: Grizzbot Assembly",5000,9000,4000,0.99,80,51,0.49
"6494",6494,"BattleStar Mazay",3000,9000,6000,0.99,200,51,0.49
"6495",6495,"MAGATAMA Earrings",4000,9000,5000,6.99,125,80,1.39
"6496",6496,"Wheely",3000,9000,6000,1.99,200,50,0.99
"6497",6497,"Drizzlepath: Genie",7000,9000,2000,7.99,28.57,50,3.99
"6498",6498,"Art of Murder - Cards of Destiny",0,9000,9000,4.99,0,55,2.24
"6499",6499,"Avadon 3: The Warborn",4000,9000,5000,19.99,125,60,7.99
"6500",6500,"Super Jagua",7000,9000,2000,0.99,28.57,51,0.49
"6501",6501,"Let's be architects",4000,9000,5000,0.99,125,51,0.49
"6502",6502,"Gravity Quest",7000,9000,2000,2.99,28.57,70,0.89
"6503",6503,"Wrestling Revolution 3D",4000,9000,5000,9.99,125,35,8.99
"6504",6504,"Unclaimed World",6000,9000,3000,18.99,50,80,3.79
"6505",6505,"Tiles",6000,9000,3000,3.99,50,50,1.99
"6506",6506,"Hitori",4000,9000,5000,0.99,125,51,0.49
"6507",6507,"Poly Towns",2000,9000,7000,4.99,350,33,3.34
"6508",6508,"Fleet Defender: The F-14 Tomcat Simulation",5000,9000,4000,6.99,80,75,1.74
"6509",6509,"Santa Rockstar",6000,9000,3000,6.99,50,0,6.99
"6510",6510,"IsoBoom",4000,9000,5000,0.99,125,0,0.99
"6511",6511,"The Invisible Hours",4000,9000,5000,29.99,125,60,11.99
"6512",6512,"Champions of Anteria",6000,9000,3000,29.99,50,75,7.49
"6513",6513,"Ice Cream Surfer",7000,9000,2000,2.99,28.57,0,2.99
"6514",6514,"Zomby Soldier",6000,9000,3000,0.99,50,51,0.49
"6515",6515,"The Madness of Little Emma",6000,9000,3000,8.99,50,80,1.79
"6516",6516,"Cute Hedgehog",6000,9000,3000,3.99,50,87,0.49
"6517",6517,"Fruit Sudoku",7000,9000,2000,0.99,28.57,51,0.49
"6518",6518,"Bighead Runner",2000,9000,7000,0.99,350,51,0.49
"6519",6519,"Robot Exploration Squad",7000,9000,2000,2.99,28.57,67,0.98
"6520",6520,"My Pet Hotel 2",2000,9000,7000,14.99,350,70,2.99
"6521",6521,"Iris.Fall",0,8000,8000,14.99,0,20,11.99
"6522",6522,"Fading Visage",2000,8000,6000,4.99,300,75,1.24
"6523",6523,"Five Rooms",2000,8000,6000,4.99,300,90,0.49
"6524",6524,"Call of Cthulhu: Shadow of the Comet",5000,8000,3000,5.99,60,75,1.49
"6525",6525,"Disney•Pixar WALL-E",6000,8000,2000,19.99,33.33,70,5.99
"6526",6526,"On Board 4 PC",6000,8000,2000,0.9,33.33,46,0.49
"6527",6527,"Swords and Sandals 5 Redux: Maximus Edition",2000,8000,6000,6.99,300,50,3.49
"6528",6528,"The Race for the White House",5000,8000,3000,14.99,60,50,7.49
"6529",6529,"HellSign",0,8000,8000,14.99,0,0,14.99
"6530",6530,"Trek: Travel Around the World",0,8000,8000,8.99,0,10,8.09
"6531",6531,"Best Time Kill",5000,8000,3000,0.99,60,51,0.49
"6532",6532,"Asyula 方舟之链",6000,8000,2000,1.99,33.33,60,0.79
"6533",6533,"Demon robot runner",2000,8000,6000,0.99,300,51,0.49
"6534",6534,"Drive//Shaft",6000,8000,2000,0.99,33.33,25,0.74
"6535",6535,"SPATIAL SOUND CARD",3000,8000,5000,9.99,166.67,25,7.49
"6536",6536,"Goldmine",3000,8000,5000,0.99,166.67,51,0.49
"6537",6537,"Fantasy Strike",4000,8000,4000,19.99,100,50,9.99
"6538",6538,"21 Days",6000,8000,2000,1.99,33.33,0,1.99
"6539",6539,"Apocalypse zombie Race",6000,8000,2000,0.99,33.33,51,0.49
"6540",6540,"Roomscale Coaster",3000,8000,5000,3.99,166.67,55,1.79
"6541",6541,"Bunny Mania 2",5000,8000,3000,4.99,60,90,0.49
"6542",6542,"Grape Jelly",6000,8000,2000,0.99,33.33,51,0.49
"6543",6543,"Robo's World: The Zarnok Fortress",6000,8000,2000,9.99,33.33,75,2.49
"6544",6544,"Lock's Quest",3000,8000,5000,14.99,166.67,50,7.49
"6545",6545,"Massive multiplayer war shooter",0,8000,8000,4.99,0,15,4.24
"6546",6546,"Detached",6000,8000,2000,24.99,33.33,75,6.24
"6547",6547,"PUTIN 20!8",6000,8000,2000,1.99,33.33,75,0.49
"6548",6548,"Sniper Squad Mission",4000,8000,4000,3.99,100,60,1.99
"6549",6549,"Silent Tweets",1000,8000,7000,1.99,700,75,0.49
"6550",6550,"Neo ATLAS 1469",5000,8000,3000,29.99,60,50,14.99
"6551",6551,"SurvivalZ Battlegrounds",6000,8000,2000,0.99,33.33,51,0.49
"6552",6552,"You're Fired",4000,8000,4000,4.99,100,90,0.49
"6553",6553,"Road Scars: Origins",2000,8000,6000,0.99,300,51,0.49
"6554",6554,"Deadstep",3000,8000,5000,4.99,166.67,0,4.99
"6555",6555,"The Incredible Baron",6000,8000,2000,4.99,33.33,80,0.99
"6556",6556,"Rage Quest: The Worst Game",1000,8000,7000,2.99,700,67,0.98
"6557",6557,"Dungeon Quest",0,8000,8000,0.99,0,51,0.49
"6558",6558,"The Mummy Demastered",6000,8000,2000,19.99,33.33,30,13.99
"6559",6559,"Robinson: The Journey",4000,8000,4000,29.99,100,75,7.49
"6560",6560,"Blades of the Righteous",5000,8000,3000,2.99,60,75,0.74
"6561",6561,"Indiana Jones and the Emperor's Tomb",0,8000,8000,5.99,0,40,3.59
"6562",6562,"The Endless Journey",5000,8000,3000,9.99,60,20,7.99
"6563",6563,"TOKYO WARFARE",4000,8000,4000,14.99,100,80,2.99
"6564",6564,"Yorkshire Gubbins",2000,8000,6000,4.99,300,40,2.99
"6565",6565,"Square Head Zombies - FPS Game",5000,8000,3000,3.99,60,87,0.51
"6566",6566,"Dead Rain - New Zombie Virus",2000,8000,6000,2.99,300,60,1.19
"6567",6567,"Tomato Jones",6000,8000,2000,1.99,33.33,50,0.99
"6568",6568,"Labirinto",1000,8000,7000,0.99,700,51,0.49
"6569",6569,"Suicideville",3000,8000,5000,0.99,166.67,51,0.49
"6570",6570,"Greeng 2D Dungeon",0,8000,8000,0.99,0,51,0.49
"6571",6571,"Heroes of Loot 2",5000,8000,3000,9.99,60,60,3.99
"6572",6572,"3D MiniGolf",5000,8000,3000,9.99,60,70,2.99
"6573",6573,"Depth of Extinction",0,8000,8000,19.99,0,25,14.99
"6574",6574,"Rugby Union Team Manager 2015",6000,8000,2000,19.99,33.33,50,9.99
"6575",6575,"Sky to Fly: Soulless Leviathan",5000,8000,3000,3.99,60,50,1.99
"6576",6576,"The Last Tower",3000,8000,5000,0.99,166.67,51,0.49
"6577",6577,"Original Journey",6000,8000,2000,11.99,33.33,60,4.79
"6578",6578,"Demonheart",4000,8000,4000,24.99,100,50,12.49
"6579",6579,"#SelfieTennis",6000,8000,2000,9.99,33.33,50,4.99
"6580",6580,"DeadTruth: The Dark Path Ahead",1000,8000,7000,8.99,700,0,8.99
"6581",6581,"Deep Dark Fantasies",6000,8000,2000,3.99,33.33,80,0.79
"6582",6582,"Only You",5000,8000,3000,2.99,60,83,0.5
"6583",6583,"Electronic Piano",5000,8000,3000,4.99,60,50,2.49
"6584",6584,"ZONE OF THE ENDERS THE 2nd RUNNER : M∀RS / アヌビス ゾーン・オブ・エンダーズ : マーズ",0,8000,8000,29.99,0,50,14.99
"6585",6585,"Remnants of Naezith",5000,8000,3000,9.99,60,50,4.99
"6586",6586,"Cublast HD",6000,8000,2000,9.99,33.33,0,9.99
"6587",6587,"Kittypocalypse",5000,8000,3000,14.99,60,55,6.74
"6588",6588,"The Secret Monster Society",5000,8000,3000,3.99,60,75,0.99
"6589",6589,"BlueberryNOVA",6000,8000,2000,2.99,33.33,20,2.39
"6590",6590,"Time Gun / 时间枪",3000,8000,5000,9.99,166.67,0,9.99
"6591",6591,"Space Fist",3000,8000,5000,15.99,166.67,0,15.99
"6592",6592,"Pandemic: The Board Game",0,8000,8000,9.99,0,60,3.99
"6593",6593,"BAE",6000,8000,2000,0.99,33.33,51,0.49
"6594",6594,"Abasralsa",3000,8000,5000,0.99,166.67,51,0.49
"6595",6595,"Behold the Kickmen",6000,8000,2000,3.99,33.33,15,3.39
"6596",6596,"Find this!",4000,8000,4000,1.99,100,75,0.49
"6597",6597,"春风 | Spring Breeze",2000,8000,6000,0.99,300,75,0.49
"6598",6598,"Battlesloths 2025: The Great Pizza Wars",5000,8000,3000,9.99,60,70,2.99
"6599",6599,"Rock, the Tree Hugger",3000,8000,5000,4.99,166.67,0,4.99
"6600",6600,"Q-YO Blaster",1000,8000,7000,3.99,700,75,0.99
"6601",6601,"Congo Merc",2000,8000,6000,4.99,300,80,0.99
"6602",6602,"Heroes Of The Offworld Arena",1000,8000,7000,4.99,700,50,2.49
"6603",6603,"Lost Sea",3000,8000,5000,14.99,166.67,90,1.49
"6604",6604,"Ancient Warfare 3",6000,8000,2000,8.99,33.33,35,5.84
"6605",6605,"Shadow Bug",6000,8000,2000,4.99,33.33,90,0.49
"6606",6606,"Long Gone Days",6000,8000,2000,14.99,33.33,20,11.99
"6607",6607,"Save Halloween: City of Witches",5000,8000,3000,4.99,60,60,1.99
"6608",6608,"A Bloody Night",6000,8000,2000,4.99,33.33,51,0.49
"6609",6609,"That Which Binds Us",0,8000,8000,8.99,0,10,8.09
"6610",6610,"The Raven Remastered",2000,8000,6000,19.99,300,50,9.99
"6611",6611,"Clergyman",6000,8000,2000,3.99,33.33,87,0.49
"6612",6612,"President Yukino",0,8000,8000,14.99,0,25,11.24
"6613",6613,"Kill to Collect",6000,8000,2000,9.99,33.33,50,4.99
"6614",6614,"PAKO 2",4000,8000,4000,9.99,100,50,4.99
"6615",6615,"Mission Runway",4000,8000,4000,9.99,100,65,3.49
"6616",6616,"CDF Ghostship",5000,8000,3000,9.99,60,90,0.99
"6617",6617,"JQ: dogs & cats",3000,8000,5000,0.99,166.67,51,0.49
"6618",6618,"Aaero",5000,8000,3000,14.99,60,75,3.74
"6619",6619,"Crudelis",5000,8000,3000,5.99,60,80,1.19
"6620",6620,"BULLET PARTY",5000,8000,3000,1.99,60,75,0.49
"6621",6621,"Abduction Bit",6000,8000,2000,0.99,33.33,51,0.49
"6622",6622,"War.io : Survival Battle Royale",0,8000,8000,0.99,0,51,0.49
"6623",6623,"The Battle for the Hut",4000,8000,4000,2.99,100,83,0.5
"6624",6624,"Trivia Vault Basketball Trivia",2000,8000,6000,1.99,300,75,0.49
"6625",6625,"Super Cloudbuilt",5000,8000,3000,19.99,60,65,6.99
"6626",6626,"Cranks and Goggles",3000,8000,5000,1.99,166.67,90,0.69
"6627",6627,"Mutants Must Die!",3000,8000,5000,3.99,166.67,80,0.79
"6628",6628,"SunAge: Battle for Elysium",6000,8000,2000,14.99,33.33,60,5.99
"6629",6629,"Game Royale 2 - The Secret of Jannis Island",6000,8000,2000,4.99,33.33,40,2.99
"6630",6630,"Pinkman",6000,8000,2000,0.99,33.33,25,0.74
"6631",6631,"Symphonic Rain",4000,8000,4000,39.99,100,40,23.99
"6632",6632,"Zen Garden",6000,8000,2000,4.99,33.33,60,1.99
"6633",6633,"Wildlife Park - Wild Creatures",4000,8000,4000,5.99,100,33,4.01
"6634",6634,"Cookies vs. Claus",5000,8000,3000,4.99,60,60,1.99
"6635",6635,"Catmaze",2000,8000,6000,9.99,300,25,7.49
"6636",6636,"Royal Casino: Video Poker",4000,8000,4000,2.99,100,84,0.49
"6637",6637,"Front Office Football Eight",5000,8000,3000,29.99,60,25,22.49
"6638",6638,"Deiland",0,8000,8000,14.99,0,35,9.74
"6639",6639,"Doodle Date",2000,8000,6000,1.99,300,35,1.29
"6640",6640,"Deranged Rabbits",6000,8000,2000,4.99,33.33,0,4.99
"6641",6641,"CMD 2048",0,8000,8000,0.99,0,45,0.54
"6642",6642,"Awakened",6000,8000,2000,2.99,33.33,0,2.99
"6643",6643,"Sweetest Monster",6000,8000,2000,5.99,33.33,25,4.49
"6644",6644,"X Rebirth VR Edition",5000,8000,3000,39.99,60,50,19.99
"6645",6645,"Cricket Captain 2018",0,8000,8000,24.99,0,50,12.49
"6646",6646,"Steven Universe: Save the Light",0,8000,8000,24.99,0,40,14.99
"6647",6647,"Siralim 3",5000,8000,3000,14.99,60,15,12.74
"6648",6648,"Dimension Hunter VR",3000,8000,5000,5.99,166.67,0,5.99
"6649",6649,"Crewsaders",6000,8000,2000,2.99,33.33,75,0.74
"6650",6650,"Merlin vs Zombies",2000,8000,6000,2.99,300,84,0.49
"6651",6651,"Disney's The Lion King",2000,8000,6000,9.99,300,50,4.99
"6652",6652,"100ft Robot Golf",5000,8000,3000,9.99,60,75,2.49
"6653",6653,"Starlight Vega",6000,8000,2000,9.99,33.33,60,3.99
"6654",6654,"Hop Step Sing! Kimamani☆Summer vacation (HQ Edition)",3000,8000,5000,6.99,166.67,25,5.24
"6655",6655,"Stellar Monarch",5000,8000,3000,19.99,60,20,15.99
"6656",6656,"18 Wheels of Steel: Haulin’",5000,8000,3000,9.99,60,65,3.49
"6657",6657,"Great eSports Manager",4000,8000,4000,9.99,100,66,3.39
"6658",6658,"AtmaSphere",2000,8000,6000,2.99,300,70,0.89
"6659",6659,"Mystica: The Ninth Society",5000,8000,3000,1.99,60,0,1.99
"6660",6660,"Potion island",0,8000,8000,1.99,0,50,0.99
"6661",6661,"RUSSIAN PEACE DUCK : TAKE MY NALOGI",4000,8000,4000,0.99,100,51,0.49
"6662",6662,"Red Comrades 3: Return of Alaska. Reloaded",5000,8000,3000,4.99,60,60,1.99
"6663",6663,"johnsgame",6000,8000,2000,0.99,33.33,51,0.49
"6664",6664,"Eon Fleet",0,8000,8000,0.99,0,51,0.49
"6665",6665,"Ria's Hook",3000,8000,5000,2.99,166.67,40,1.79
"6666",6666,"Immortal: Unchained",0,8000,8000,29.99,0,50,24.99
"6667",6667,"It`s Village",6000,8000,2000,1.99,33.33,66,0.67
"6668",6668,"MineSweep",4000,8000,4000,0.99,100,51,0.49
"6669",6669,"3D Chess",6000,8000,2000,9.99,33.33,70,2.99
"6670",6670,"Sparky's Hunt",1000,8000,7000,0.99,700,0,0.99
"6671",6671,"Infinite road",0,8000,8000,0.99,0,51,0.49
"6672",6672,"Chronicles of a Dark Lord: Tides of Fate Remastered",6000,8000,2000,4.99,33.33,80,0.99
"6673",6673,"XXZ: XXL",6000,8000,2000,5.99,33.33,75,1.49
"6674",6674,"Planet RIX-13",6000,8000,2000,2.99,33.33,70,0.89
"6675",6675,"Trivia Vault Olympics Trivia",2000,8000,6000,1.99,300,75,0.49
"6676",6676,"gRally",3000,8000,5000,3.99,166.67,0,3.99
"6677",6677,"TheLooppy",2000,8000,6000,1.99,300,75,0.49
"6678",6678,"Stellar Stars",6000,8000,2000,9.99,33.33,0,9.99
"6679",6679,"Human-powered spacecraft",1000,8000,7000,0.99,700,75,0.49
"6680",6680,"Dakar 18",0,8000,8000,49.99,0,25,37.49
"6681",6681,"killer7",0,8000,8000,19.99,0,10,17.99
"6682",6682,"Achievement Hunter: Thief",5000,8000,3000,0.99,60,51,0.49
"6683",6683,"Space Hulk: Tactics",0,8000,8000,39.99,0,25,29.99
"6684",6684,"A Little Rabbit Story",3000,8000,5000,1.99,166.67,50,0.99
"6685",6685,"Teleportals. I swear it's a nice game",1000,8000,7000,0.99,700,51,0.49
"6686",6686,"Asemblance",6000,8000,2000,7.99,33.33,75,1.99
"6687",6687,"The Golf Club 2019 featuring PGA TOUR",0,8000,8000,49.99,0,40,29.99
"6688",6688,"Skelly Selest",4000,8000,4000,4.99,100,35,2.99
"6689",6689,"Voxel Tanks",4000,8000,4000,1.99,100,60,0.49
"6690",6690,"Need to Know",0,8000,8000,14.99,0,20,11.99
"6691",6691,"KartKraft",0,8000,8000,19.99,0,10,17.99
"6692",6692,"1917 - The Alien Invasion DX",5000,8000,3000,4.99,60,80,0.99
"6693",6693,"茂伸奇谈 Monobeno",6000,8000,2000,24.99,33.33,45,13.74
"6694",6694,"Satanist",3000,8000,5000,0.99,166.67,51,0.49
"6695",6695,"Boom Island",4000,8000,4000,0.99,100,51,0.49
"6696",6696,"Legend Of Mercy 神医魔导",2000,8000,6000,9.99,300,70,2.99
"6697",6697,"SHARK",2000,8000,6000,0.99,300,51,0.49
"6698",6698,"HACK_IT",4000,8000,4000,4.99,100,80,0.99
"6699",6699,"Skyworld",6000,8000,2000,24.99,33.33,50,19.99
"6700",6700,"Crystal Towers 2 XL",6000,8000,2000,7.99,33.33,0,7.99
"6701",6701,"Ashes of Immortality",5000,8000,3000,9.99,60,90,0.99
"6702",6702,"Super Potato Bruh",0,8000,8000,3.99,0,75,0.99
"6703",6703,"Crankies Workshop: Grizzbot Assembly 2",4000,8000,4000,0.99,100,51,0.49
"6704",6704,"Crankies Workshop: Lerpbot Assembly",6000,8000,2000,0.99,33.33,51,0.49
"6705",6705,"Robo Encryption Zup",1000,8000,7000,4.99,700,70,1.49
"6706",6706,"TimeLock VR",2000,8000,6000,4.99,300,75,1.24
"6707",6707,"Alien Arena: Warriors Of Mars",5000,8000,3000,1.99,60,75,0.49
"6708",6708,"Block Shock",5000,8000,3000,0.99,60,51,0.49
"6709",6709,"VR Escape the space station",6000,8000,2000,6.99,33.33,50,3.49
"6710",6710,"The Inner World - The Last Wind Monk",4000,8000,4000,24.99,100,75,6.24
"6711",6711,"Power Hover",5000,8000,3000,4.99,60,90,0.49
"6712",6712,"Bird Game",2000,8000,6000,2.99,300,50,1.49
"6713",6713,"Wenjia",0,8000,8000,8.99,0,40,5.39
"6714",6714,"PukePuke Demon",0,8000,8000,1.99,0,75,0.49
"6715",6715,"Ninja SpeedRush",0,8000,8000,0.99,0,51,0.49
"6716",6716,"Arena Hero",3000,8000,5000,14.99,166.67,90,1.49
"6717",6717,"Grab the Bottle",6000,8000,2000,4.99,33.33,85,0.74
"6718",6718,"Ultimate Solid",6000,8000,2000,0.99,33.33,51,0.49
"6719",6719,"Bloonz Toonz",2000,8000,6000,2.99,300,75,0.74
"6720",6720,"Trivia Vault: Mixed Trivia",4000,8000,4000,4.99,100,90,0.49
"6721",6721,"Grimoire Chronicles",4000,8000,4000,3.99,100,88,0.49
"6722",6722,"众生",6000,8000,2000,14.99,33.33,0,14.99
"6723",6723,"War of Criminals",5000,8000,3000,2.99,60,65,1.39
"6724",6724,"Mayhem Intergalactic",6000,8000,2000,9.99,33.33,0,9.99
"6725",6725,"PING 1.5+",6000,8000,2000,4.99,33.33,90,0.49
"6726",6726,"Sentience: The Android's Tale",6000,8000,2000,3.99,33.33,80,0.79
"6727",6727,"Silicon Zeroes",6000,8000,2000,14.99,33.33,33,10.04
"6728",6728,"Battlevoid: Sector Siege",5000,8000,3000,9.99,60,90,0.99
"6729",6729,"Bouncing Duck Simulator",6000,8000,2000,4.99,33.33,70,1.49
"6730",6730,"Quick Draw",6000,8000,2000,9.99,33.33,50,4.99
"6731",6731,"GNOG",0,8000,8000,9.99,0,20,7.99
"6732",6732,"Stellar Interface",6000,8000,2000,12.99,33.33,75,3.24
"6733",6733,"Reach Me",3000,8000,5000,1.99,166.67,70,0.59
"6734",6734,"WAVESHAPER",5000,8000,3000,1.99,60,66,0.49
"6735",6735,"Slipstream",5000,8000,3000,9.99,60,15,8.49
"6736",6736,"Catacombs 1: Demon War",3000,8000,5000,1.99,166.67,60,0.79
"6737",6737,"Art of Murder - FBI Confidential",0,8000,8000,4.99,0,55,2.24
"6738",6738,"Zombie Camp",5000,8000,3000,1.99,60,0,1.99
"6739",6739,"Geneshift",4000,8000,4000,9.99,100,30,6.99
"6740",6740,"The Watson-Scott Test",0,8000,8000,4.99,0,20,3.99
"6741",6741,"Royal Offense",6000,8000,2000,2.99,33.33,75,0.74
"6742",6742,"Divinia Chronicles: Relics of Gan-Ti",5000,8000,3000,14.99,60,48,7.79
"6743",6743,"The Clockwork Man: The Hidden World",6000,8000,2000,9.99,33.33,75,2.49
"6744",6744,"Trivia Vault: Boxing Trivia",4000,8000,4000,1.99,100,75,0.49
"6745",6745,"Pilferer",6000,8000,2000,0.99,33.33,51,0.49
"6746",6746,"Raging Titan",6000,8000,2000,4.99,33.33,33,3.34
"6747",6747,"Girl Blonde",5000,8000,3000,1.99,60,75,0.49
"6748",6748,"PLANET ALPHA",0,8000,8000,19.99,0,40,11.99
"6749",6749,"Timber Tennis: Versus",1000,8000,7000,1.99,700,10,1.79
"6750",6750,"Holy Towers",5000,8000,3000,4.99,60,0,4.99
"6751",6751,"Ittle Dew 2",4000,8000,4000,19.99,100,50,9.99
"6752",6752,"Pick a Hero",4000,8000,4000,1.99,100,20,0.79
"6753",6753,"Cuit",4000,8000,4000,2.99,100,75,0.74
"6754",6754,"Click&Fight",4000,8000,4000,1.99,100,75,0.49
"6755",6755,"Unworthy",4000,8000,4000,14.99,100,25,11.24
"6756",6756,"9th Dawn II",5000,8000,3000,1.99,60,50,0.99
"6757",6757,"Blaster Cop",5000,8000,3000,1.99,60,75,0.49
"6758",6758,"Final Directive",3000,8000,5000,1.99,166.67,51,0.97
"6759",6759,"Safety Driving Simulator: Car",6000,8000,2000,4.99,33.33,60,1.99
"6760",6760,"Morph Girl",2000,8000,6000,3.99,300,50,1.99
"6761",6761,"Beat The Game",3000,8000,5000,9.99,166.67,50,4.99
"6762",6762,"The Minims",6000,8000,2000,9.99,33.33,0,9.99
"6763",6763,"Momonga Pinball Adventures",5000,8000,3000,5.99,60,60,2.39
"6764",6764,"Blackberry Honey",4000,8000,4000,12.99,100,20,10.39
"6765",6765,"Anime Fight in the Arena of Death",0,8000,8000,0.99,0,51,0.49
"6766",6766,"Harmless Skeleton",6000,8000,2000,3.99,33.33,87,0.49
"6767",6767,"My Little Bomb",6000,8000,2000,0.99,33.33,51,0.49
"6768",6768,"辣条杂货店:令人感动的童年回忆，经典策略模拟经营解密",5000,8000,3000,5.99,60,0,5.99
"6769",6769,"DROD: Gunthro and the Epic Blunder",5000,8000,3000,9.99,60,75,2.49
"6770",6770,"Park the car",0,8000,8000,0.99,0,51,0.49
"6771",6771,"Paperbound",6000,8000,2000,9.99,33.33,0,9.99
"6772",6772,"Tod Stein",0,8000,8000,0.99,0,51,0.49
"6773",6773,"Dragon's Lair 2: Time Warp",6000,8000,2000,9.99,33.33,50,4.99
"6774",6774,"Valcarta: Rise of the Demon",6000,8000,2000,6.99,33.33,85,1.04
"6775",6775,"Robo Miner",3000,8000,5000,2.99,166.67,30,2.09
"6776",6776,"SuperMoose",6000,8000,2000,1.99,33.33,70,0.59
"6777",6777,"Super GTR Racing",3000,8000,5000,3.99,166.67,88,0.49
"6778",6778,"Underworld Ascendant",1000,8000,7000,29.99,700,15,25.49
"6779",6779,"Freeways",4000,8000,4000,3.99,100,25,2.99
"6780",6780,"祛魅·教化（祛魅1）",1000,7000,6000,0.99,600,16,0.83
"6781",6781,"Thick Light 2",0,7000,7000,0.99,0,51,0.49
"6782",6782,"Gal*Gun 2",0,7000,7000,44.99,0,50,29.99
"6783",6783,"Ruin of the Reckless",4000,7000,3000,9.99,75,55,4.49
"6784",6784,"Woody Blox",3000,7000,4000,0.99,133.33,51,0.49
"6785",6785,"Guppy",5000,7000,2000,2.99,40,50,1.49
"6786",6786,"Writers",2000,7000,5000,3.99,250,80,0.79
"6787",6787,"Debtor",4000,7000,3000,1.99,75,75,0.49
"6788",6788,"Music Inside: A VR Rhythm Game",2000,7000,5000,9.99,250,0,9.99
"6789",6789,"CRASHBOT",3000,7000,4000,2.99,133.33,83,0.5
"6790",6790,"THE LAST BLADE 2",4000,7000,3000,9.99,75,50,4.99
"6791",6791,"Intrude",4000,7000,3000,3.99,75,50,1.99
"6792",6792,"Prey: Typhon Hunter",0,7000,7000,39.99,0,50,19.99
"6793",6793,"The Art Of Knuckle Sandwich",3000,7000,4000,8.99,133.33,90,0.89
"6794",6794,"Cyberline Racing",5000,7000,2000,0.99,40,51,0.49
"6795",6795,"Margot's Word Brain",0,7000,7000,2.99,0,70,0.89
"6796",6796,"Little hidden city",2000,7000,5000,1.99,250,75,0.49
"6797",6797,"Robert Rodriguez’s THE LIMIT: An Immersive Cinema Experience",0,7000,7000,4.99,0,0,4.99
"6798",6798,"Neptune: Arena FPS",2000,7000,5000,4.99,250,80,0.99
"6799",6799,"Hanse - The Hanseatic League",4000,7000,3000,19.99,75,50,9.99
"6800",6800,"Trash Squad",1000,7000,6000,4.99,600,90,0.49
"6801",6801,"Glasswinged Ascension",5000,7000,2000,0.99,40,83,0.49
"6802",6802,"C2H6O",5000,7000,2000,1.99,40,75,0.49
"6803",6803,"Chronoclysm",5000,7000,2000,4.99,40,0,4.99
"6804",6804,"The Tenth Line",5000,7000,2000,9.99,40,66,3.39
"6805",6805,"Defense the Farm",3000,7000,4000,0.99,133.33,51,0.49
